date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:54	35443/35443	---M-Z	200	added ('OK')	text/html	etag:%228a73-6477600f-767915787363a8b9;gz%22	https://max-themes.net/demos/sweetpick/index.html	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/index.html	(from )
14:53:54	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-659acfdea6626047;gz%22	https://max-themes.net/robots.txt		(from )
14:53:55	1612/1612	---MC-	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:53:55%20GMT	http://fonts.googleapis.com/css?family=Merriweather:400,300,300italic,400italic,700,700italic,900,900italic	C:/Users/PC/Downloads/duAn1/fonts.googleapis.com/css8e21.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:55	1584/1584	---MC-	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:53:55%20GMT	http://fonts.googleapis.com/css?family=Raleway:400,300,500,600,800,900,200,100	C:/Users/PC/Downloads/duAn1/fonts.googleapis.com/css1aac.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:55	798/798	---MC-	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:53:55%20GMT	http://fonts.googleapis.com/css?family=Noticia+Text:400,400italic,700,700italic	C:/Users/PC/Downloads/duAn1/fonts.googleapis.com/css0513.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:55	1188/1188	---MC-	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:53:55%20GMT	http://fonts.googleapis.com/css?family=Raleway:500,600,700,400,200,300	C:/Users/PC/Downloads/duAn1/fonts.googleapis.com/css32b5.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:56	1371/1371	---MC-	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2007:53:56%20GMT	http://fonts.googleapis.com/css?family=Playfair+Display:400,700,900,400italic,700italic,900italic	C:/Users/PC/Downloads/duAn1/fonts.googleapis.com/cssa9a5.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:56	126988/126988	---M-Z	200	added ('OK')	text/css	etag:%221f00c-547f8156-bc957ae87f6623da;gz%22	https://max-themes.net/demos/sweetpick/css/bootstrap.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/bootstrap.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:57	656/656	---M-Z	200	added ('OK')	text/css	etag:%22290-54b83b08-3f127d800dd65c8;gz%22	https://max-themes.net/demos/sweetpick/css/fullwidth.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/fullwidth.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:57	28755/28755	---M-Z	200	added ('OK')	text/css	etag:%227053-54ff2bbc-ddc9888182268003;gz%22	https://max-themes.net/demos/sweetpick/css/settings.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/settings.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:58	28323/28323	---M-Z	200	added ('OK')	text/css	etag:%226ea3-547f8154-8ffbe48f5f2db3f4;gz%22	https://max-themes.net/demos/sweetpick/css/font-awesome.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/font-awesome.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:59	3721/3721	---M-Z	200	added ('OK')	text/css	etag:%22e89-54934156-67ceafd0f7f513cd;gz%22	https://max-themes.net/demos/sweetpick/css/jquery.bxslider.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/jquery.bxslider.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:53:59	106772/106772	---M-Z	200	added ('OK')	text/css	etag:%221a114-54c65b96-9ace5f98e3967c5e;gz%22	https://max-themes.net/demos/sweetpick/css/style.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/style.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:54:00	8264/8264	---M-Z	200	added ('OK')	text/css	etag:%222048-54b85c62-945245b0063d3ae7;gz%22	https://max-themes.net/demos/sweetpick/css/responsive.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/responsive.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:54:00	1285/1285	---M--	200	added ('OK')	image/png	etag:%22505-54b8b004-921da2b6bbc4a4e2;;;%22	https://max-themes.net/demos/sweetpick/images/favicon.png	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/images/favicon.png	(from https://max-themes.net/demos/sweetpick/index.html)
14:54:01	4530/4530	---M-Z	200	added ('OK')	text/css	etag:%2211b2-54b3fa7c-b41b93b5b90dfe5;gz%22	https://max-themes.net/demos/sweetpick/css/colors/yellow-black.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/colors/yellow-black.css	(from https://max-themes.net/demos/sweetpick/index.html)
14:54:02	4530/4530	---M-Z	200	added ('OK')	text/css	etag:%2211b2-54b3fa78-b12668b17065ba5c;gz%22	https://max-themes.net/demos/sweetpick/css/colors/violet-black.css	C:/Users/PC/Downloads/duAn1/max-themes.net/demos/sweetpick/css/colors/violet-black.css	(from https://max-themes.net/demos/sweetpick/index.html)
